city,name,specialization,qualification,experience,satisfaction_rate,reviews,areas_of_interest,consultation_type,hospital_name,hospital_address,hospital_city,complete address,availability_schedule,fee,profile_url,image_url,raw_source_url
Lahore,Dr. Aqsa Khalid,"Acupuncture, Homeopath","DHMS, MD (Acupuncture), Diploma in Acupuncture",7 Yrs,,,"Moxibustion, Cupping & Laser Therapy, Acupuncture, Radio-frequency For Weightloss",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Fri: 01:30 PM - 06:30 PM; Sat: 01:30 PM - 06:30 PM; Sun: 01:30 PM - 06:30 PM,"2,500",https://www.marham.pk/doctors/lahore/acupuncture/dr-aqsa-khalid,https://staticconnect.marham.pk/assets/doctors/37120/dr-aqsa-khalid-acupuncture-lahore-45_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Dr. Aqsa Khalid,"Acupuncture, Homeopath","DHMS, MD (Acupuncture), Diploma in Acupuncture",7 Yrs,,,"Moxibustion, Cupping & Laser Therapy, Acupuncture, Radio-frequency For Weightloss",Hospital,Masood Hospital,Garden Town,Lahore,"Masood Hospital, Garden Town, Lahore",Mon: 10:30 AM - 02:00 PM; Wed: 10:30 AM - 02:00 PM; Fri: 10:30 AM - 02:00 PM,3000,https://www.marham.pk/doctors/lahore/acupuncture/dr-aqsa-khalid,https://staticconnect.marham.pk/assets/doctors/37120/dr-aqsa-khalid-acupuncture-lahore-45_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Dr. Aqsa Khalid,"Acupuncture, Homeopath","DHMS, MD (Acupuncture), Diploma in Acupuncture",7 Yrs,,,"Moxibustion, Cupping & Laser Therapy, Acupuncture, Radio-frequency For Weightloss",Hospital,Bode Dental Clinic,Raiwind Road,Lahore,"Bode Dental Clinic, Raiwind Road, Lahore",Tue: 12:00 PM - 06:00 PM; Thu: 12:00 PM - 06:00 PM; Sat: 12:00 PM - 06:00 PM,3000,https://www.marham.pk/doctors/lahore/acupuncture/dr-aqsa-khalid,https://staticconnect.marham.pk/assets/doctors/37120/dr-aqsa-khalid-acupuncture-lahore-45_80X80.webp,https://www.marham.pk/doctors/acupuncture
Lahore,Sundas Farooq,"General Practitioner, Hijama Specialist, Acupuncture","BEMS (Gold Medalist), PGD Acupuncture and Pain Management",5 Yrs,,,"General Practitioner, Cough & Fever, Medicine, Primary Care, General Physician For Vaccination, Hypertension, Hepatitis, Common Cold, Flue, Cough, Covid, Abdominal Pain, Diarrhea, Constipation, Fever, Typhoid",Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 09:00 PM - 11:00 PM; Tue: 09:00 PM - 11:00 PM; Wed: 09:00 PM - 11:00 PM; Fri: 09:00 PM - 11:00 PM; Sat: 09:00 PM - 11:00 PM,"1,500",https://www.marham.pk/online-consultation/general-practitioner/lahore/sundas-farooq-64763,https://staticconnect.marham.pk/assets/doctors/64763/sundas-farooq-hijama-specialist-sadiqabad-17_80X80.webp,https://www.marham.pk/doctors/acupuncture
Sadiqabad,Sundas Farooq,"General Practitioner, Hijama Specialist, Acupuncture","BEMS (Gold Medalist), PGD Acupuncture and Pain Management",5 Yrs,,,"General Practitioner, Cough & Fever, Medicine, Primary Care, General Physician For Vaccination, Hypertension, Hepatitis, Common Cold, Flue, Cough, Covid, Abdominal Pain, Diarrhea, Constipation, Fever, Typhoid",Hospital,Yasmeen Azam Medical Complex,punjab,Sadiqabad,"Yasmeen Azam Medical Complex, punjab, Sadiqabad",Mon: 04:00 PM - 08:00 PM; Tue: 04:00 PM - 08:00 PM; Wed: 04:00 PM - 08:00 PM; Thu: 04:00 PM - 08:00 PM; Fri: 04:00 PM - 08:00 PM; Sat: 04:00 PM - 08:00 PM,1500,https://www.marham.pk/online-consultation/general-practitioner/lahore/sundas-farooq-64763,https://staticconnect.marham.pk/assets/doctors/64763/sundas-farooq-hijama-specialist-sadiqabad-17_80X80.webp,https://www.marham.pk/doctors/acupuncture
Sialkot,Dr. Asma Tariq Malik,"Gynecologist, Aesthetic Gynecologist, Obstetrician","MBBS, Dip. Gynecology & Obstetrician, Dip. Cosmetic Gynecology",41 Yrs,95%,35,"Gynecology, Obstetrician, Infertility Expert, Infertility",Video Consultation,Video Consultation,Garden Town,Sialkot,Video Consultation,Mon: 11:00 AM - 01:30 PM; Tue: 11:00 AM - 01:30 PM; Wed: 11:00 AM - 01:30 PM; Thu: 11:00 AM - 01:30 PM; Sat: 11:00 AM - 01:30 PM,"3,000",https://www.marham.pk/doctors/sialkot/gynecologist/dr-asma-tariq-malik,https://staticconnect.marham.pk/assets/doctors/62621/dr-asma-tariq-malik-gynecologist-sialkot-46_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Sialkot,Dr. Asma Tariq Malik,"Gynecologist, Aesthetic Gynecologist, Obstetrician","MBBS, Dip. Gynecology & Obstetrician, Dip. Cosmetic Gynecology",41 Yrs,95%,35,"Gynecology, Obstetrician, Infertility Expert, Infertility",Hospital,City Hospital,Nishat Park,Sialkot,"City Hospital, Nishat Park, Sialkot","Mon: 11:00 AM - 01:30 PM, 08:00 PM - 09:00 PM; Tue: 11:00 AM - 01:30 PM, 08:00 PM - 09:00 PM; Wed: 11:00 AM - 01:30 PM, 08:00 PM - 09:00 PM; Thu: 11:00 AM - 01:30 PM, 08:00 PM - 09:00 PM; Fri: 11:00 AM - 01:30 PM, 08:00 PM - 09:00 PM; Sat: 11:00 AM - 01:30 PM",3000,https://www.marham.pk/doctors/sialkot/gynecologist/dr-asma-tariq-malik,https://staticconnect.marham.pk/assets/doctors/62621/dr-asma-tariq-malik-gynecologist-sialkot-46_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Islamabad,Dr. Shazia Nazir,Aesthetic Gynecologist,mbbs fcps gynacology,18 Yrs,,,,Hospital,Muhammad Medical Complex (MMC),G8 Markaz,Islamabad,"Muhammad Medical Complex (MMC), G8 Markaz, Islamabad",Mon: 10:00 AM - 02:00 PM; Tue: 10:00 AM - 02:00 PM; Wed: 10:00 AM - 02:00 PM; Thu: 10:00 AM - 02:00 PM; Fri: 10:00 AM - 02:00 PM,2000,https://www.marham.pk/doctors/islamabad/aesthetic-gynecologist/dr-shazia-nazir,https://static.marham.pk/assets/images/doctor-photo-female-8080.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Rahim Yar Khan,Dr. Maha Mukhtar,"Gynecologist, Aesthetic Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynaecology), Diploma in Cosmetic Gynaecology, MRCOG-1",10 Yrs,94%,33,"Gynecology, Obstetrician, Infertility Expert",Video Consultation,Video Consultation,Garden Town,Rahim Yar Khan,Video Consultation,Mon: 09:00 AM - 11:00 PM; Tue: 09:00 AM - 11:00 PM; Wed: 09:00 AM - 11:00 PM; Thu: 09:00 AM - 11:00 PM; Fri: 09:00 AM - 11:00 PM; Sat: 09:00 AM - 11:00 PM; Sun: 09:00 AM - 11:00 PM,"1,300",https://www.marham.pk/doctors/rahim-yar-khan/gynecologist/dr-maha-mukhtar,https://staticconnect.marham.pk/assets/doctors/17883/dr-maha-mukhtar-gynecologist-rahim-yar-khan-25_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Rahim Yar Khan,Dr. Maha Mukhtar,"Gynecologist, Aesthetic Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynaecology), Diploma in Cosmetic Gynaecology, MRCOG-1",10 Yrs,94%,33,"Gynecology, Obstetrician, Infertility Expert",Hospital,Mukhtar Medicare,Sadiqabad,Rahim Yar Khan,"Mukhtar Medicare, Sadiqabad, Rahim Yar Khan",Mon: 03:00 PM - 07:00 PM; Tue: 03:00 PM - 07:00 PM; Wed: 03:00 PM - 07:00 PM; Thu: 03:00 PM - 07:00 PM; Fri: 03:00 PM - 07:00 PM; Sat: 03:00 PM - 07:00 PM,1300,https://www.marham.pk/doctors/rahim-yar-khan/gynecologist/dr-maha-mukhtar,https://staticconnect.marham.pk/assets/doctors/17883/dr-maha-mukhtar-gynecologist-rahim-yar-khan-25_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Peshawar,Dr. Sadaf Naz Khan,Aesthetic Gynecologist,"MBBS, Diploma in Aesthetic Gynecologist, Aesthetic Physician",9 Yrs,100%,5,"Irregular Periods, Recurrent Abortions, Thyroid Hormone Imbalance, Postmenopausal Care",Video Consultation,Video Consultation,Garden Town,Peshawar,Video Consultation,Mon: 02:00 PM - 08:00 PM; Tue: 02:00 PM - 08:00 PM; Wed: 02:00 PM - 08:00 PM; Thu: 02:00 PM - 08:00 PM; Fri: 02:00 PM - 08:00 PM; Sat: 02:00 PM - 08:00 PM,"2,000",https://www.marham.pk/online-consultation/aesthetic-gynecologist/peshawar/dr-sadaf-naz-khan-32172,https://staticconnect.marham.pk/assets/doctors/32172/dr-sadaf-naz-khan-gynecologist-peshawar-88_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Peshawar,Dr. Sadaf Naz Khan,Aesthetic Gynecologist,"MBBS, Diploma in Aesthetic Gynecologist, Aesthetic Physician",9 Yrs,100%,5,"Irregular Periods, Recurrent Abortions, Thyroid Hormone Imbalance, Postmenopausal Care",Hospital,Dr Sadaf Naz Khan Gynae and aesthetic clinic,PESHAWAR,Peshawar,"Dr Sadaf Naz Khan Gynae and aesthetic clinic, PESHAWAR, Peshawar",Mon: 04:00 PM - 08:00 PM; Tue: 04:00 PM - 08:00 PM; Wed: 04:00 PM - 08:00 PM; Thu: 04:00 PM - 08:00 PM; Fri: 04:00 PM - 08:00 PM; Sat: 04:00 PM - 08:00 PM,1000,https://www.marham.pk/online-consultation/aesthetic-gynecologist/peshawar/dr-sadaf-naz-khan-32172,https://staticconnect.marham.pk/assets/doctors/32172/dr-sadaf-naz-khan-gynecologist-peshawar-88_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Peshawar,Dr. Saman Muddassar,Aesthetic Gynecologist,"MBBS, FCPS Gynaecology & Obstetrics",11 Yrs,,,"Online Psychiatric Consultation, Teaching And Training Of Psychiatric Illness, Urogynecology, Gastroentrology, Hepatology, Hepatologist, Gastroenterologist, For, Facial Aesthetics, Implants, Keratoconus, Diabetic Retinopathy, Managing Blood Pressure, Women’s Health, Care In Pregnancy, LASIK For Glasses Removal, Clinical Dermatology, Study, Arrhythmia Management, Cardiology, Neurology",Video Consultation,Video Consultation,Garden Town,Peshawar,Video Consultation,Mon: 09:00 AM - 06:00 PM; Tue: 09:00 AM - 06:00 PM; Wed: 09:00 AM - 06:00 PM; Thu: 09:00 AM - 06:00 PM; Fri: 09:00 AM - 06:00 PM; Sat: 09:00 AM - 06:00 PM; Sun: 09:00 AM - 06:00 PM,"1,000",https://www.marham.pk/doctors/peshawar/aesthetic-gynecologist/dr-saman-muddassar,https://staticconnect.marham.pk/assets/doctors/36589/asst-prof-dr-saman-muddassar-aesthetic-gynecologist-peshawar-5_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Peshawar,Dr. Saman Muddassar,Aesthetic Gynecologist,"MBBS, FCPS Gynaecology & Obstetrics",11 Yrs,,,"Online Psychiatric Consultation, Teaching And Training Of Psychiatric Illness, Urogynecology, Gastroentrology, Hepatology, Hepatologist, Gastroenterologist, For, Facial Aesthetics, Implants, Keratoconus, Diabetic Retinopathy, Managing Blood Pressure, Women’s Health, Care In Pregnancy, LASIK For Glasses Removal, Clinical Dermatology, Study, Arrhythmia Management, Cardiology, Neurology",Hospital,Frontier Corps Teaching Hospital Peshawar,Pakistan,Peshawar,"Frontier Corps Teaching Hospital Peshawar, Pakistan, Peshawar",Mon: 02:00 PM - 09:00 PM; Tue: 02:00 PM - 09:00 PM; Wed: 02:00 PM - 09:00 PM; Thu: 02:00 PM - 09:00 PM; Fri: 02:00 PM - 09:00 PM; Sat: 02:00 PM - 09:00 PM,1500,https://www.marham.pk/doctors/peshawar/aesthetic-gynecologist/dr-saman-muddassar,https://staticconnect.marham.pk/assets/doctors/36589/asst-prof-dr-saman-muddassar-aesthetic-gynecologist-peshawar-5_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Lahore,Asst. Prof. Dr. Adila Ashraf,"Obstetrician, Aesthetic Gynecologist","MBBS, FCPS (Obstetrician & Gynecology), Dip in Laparoscopy",12 Yrs,86%,6,,Video Consultation,Video Consultation,Garden Town,Lahore,Video Consultation,Mon: 04:00 PM - 06:00 PM; Tue: 04:00 PM - 06:00 PM; Wed: 04:00 PM - 06:00 PM; Thu: 04:00 PM - 06:00 PM; Fri: 04:00 PM - 06:00 PM,"1,000",https://www.marham.pk/doctors/lahore/obstetrician/asst-prof-dr-adila-ashraf,https://staticconnect.marham.pk/assets/doctors/61545/asst-prof-dr-adila-ashraf-obstetrician-lahore-62_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Lahore,Asst. Prof. Dr. Adila Ashraf,"Obstetrician, Aesthetic Gynecologist","MBBS, FCPS (Obstetrician & Gynecology), Dip in Laparoscopy",12 Yrs,86%,6,,Hospital,Omar Hospital & Cardiac Centre (Johar Town),Johar Town,Lahore,"Omar Hospital & Cardiac Centre (Johar Town), Johar Town, Lahore",Mon: 04:00 PM - 06:00 PM; Tue: 04:00 PM - 06:00 PM; Wed: 04:00 PM - 06:00 PM; Thu: 04:00 PM - 06:00 PM; Fri: 04:00 PM - 06:00 PM,3000,https://www.marham.pk/doctors/lahore/obstetrician/asst-prof-dr-adila-ashraf,https://staticconnect.marham.pk/assets/doctors/61545/asst-prof-dr-adila-ashraf-obstetrician-lahore-62_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Lahore,Asst. Prof. Dr. Adila Ashraf,"Obstetrician, Aesthetic Gynecologist","MBBS, FCPS (Obstetrician & Gynecology), Dip in Laparoscopy",12 Yrs,86%,6,,Hospital,Hayat Memorial Hospital,DHA Defence,Lahore,"Hayat Memorial Hospital, DHA Defence, Lahore",Mon: 09:00 AM - 01:00 PM; Tue: 09:00 AM - 01:00 PM; Wed: 09:00 AM - 01:00 PM; Thu: 09:00 AM - 01:00 PM; Fri: 09:00 AM - 01:00 PM; Sat: 09:00 AM - 01:00 PM,2000,https://www.marham.pk/doctors/lahore/obstetrician/asst-prof-dr-adila-ashraf,https://staticconnect.marham.pk/assets/doctors/61545/asst-prof-dr-adila-ashraf-obstetrician-lahore-62_80X80.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
Islamabad,Dr. Sara Nasir,Aesthetic Gynecologist,"MBBS,FCPS,MRCOG1",,100%,1,,Hospital,Gulf care hospital,Islamabad Capital Territory,Islamabad,"Gulf care hospital, Islamabad Capital Territory, Islamabad",Mon: 04:00 PM - 08:00 PM; Tue: 04:00 PM - 08:00 PM; Wed: 04:00 PM - 08:00 PM; Thu: 04:00 PM - 08:00 PM; Fri: 04:00 PM - 08:00 PM; Sat: 04:00 PM - 08:00 PM,2000,https://www.marham.pk/doctors/islamabad/aesthetic-gynecologist/dr-sara-nasir,https://static.marham.pk/assets/images/doctor-photo-female-8080.webp,https://www.marham.pk/doctors/aesthetic-gynecologist
